agent,phase,n,optimal_rate,avg_regret,max_regret
greedy,all,180,0.5222,6.5389,79.0000
greedy,opening,60,0.3500,8.6333,47.0000
greedy,midgame,60,0.4667,9.2667,79.0000
greedy,endgame,60,0.7500,1.7167,46.0000
mcts,all,180,0.7278,2.1722,46.0000
mcts,opening,60,0.7333,1.9333,27.0000
mcts,midgame,60,0.6667,2.9500,22.0000
mcts,endgame,60,0.7833,1.6333,46.0000
raw,all,180,0.6833,3.7000,61.0000
raw,opening,60,0.7167,2.4000,20.0000
raw,midgame,60,0.6000,5.5667,45.0000
raw,endgame,60,0.7333,3.1333,61.0000
