iteration,buffer,loss,vs_random,vs_greedy,solver_first,solver_second,best,seconds
1,1144,1.7223,,,,,,5.8
2,2240,1.5912,,,,,,3.1
3,3306,1.5701,,,,,,3.0
4,4442,1.5886,,,,,,3.5
5,5470,1.6181,,,,,,3.0
6,6550,1.6444,,,,,,3.1
7,7608,1.6323,,,,,,3.0
8,8673,1.5958,,,,,,3.2
9,9692,1.5933,,,,,,3.2
10,10704,1.5955,,,,,,2.9
11,11741,1.5841,,,,,,2.8
12,12716,1.5774,,,,,,2.8
13,13798,1.5730,,,,,,3.4
14,14933,1.5730,,,,,,3.3
15,16100,1.5580,,,,,,3.6
16,17290,1.5582,,,,,,3.6
17,18404,1.5553,,,,,,3.8
18,19471,1.5504,,,,,,3.6
19,20465,1.5532,,,,,,3.3
20,21475,1.5541,1.000,0.933,0,0,1,42.1
21,22560,1.5525,,,,,,3.8
22,23567,1.5542,,,,,,3.1
23,24600,1.5499,,,,,,3.4
24,25789,1.5532,,,,,,3.8
25,26957,1.5470,,,,,,3.6
26,27927,1.5454,,,,,,3.4
27,28974,1.5436,,,,,,2.9
28,30049,1.5359,,,,,,2.9
29,31147,1.5360,,,,,,2.9
30,32255,1.5428,,,,,,3.1
31,33439,1.5328,,,,,,3.4
32,34524,1.5343,,,,,,3.2
33,35617,1.5369,,,,,,3.4
34,36677,1.5288,,,,,,3.2
35,37718,1.5255,,,,,,3.1
36,38744,1.5342,,,,,,3.1
37,39684,1.5297,,,,,,3.1
38,40746,1.5267,,,,,,2.9
39,41793,1.5271,,,,,,3.1
40,42843,1.5321,1.000,0.967,0,0,0,47.7
41,43945,1.5288,,,,,,3.5
42,44981,1.5274,,,,,,3.0
43,46087,1.5269,,,,,,3.8
44,47171,1.5247,,,,,,3.6
45,48166,1.5208,,,,,,3.4
46,49275,1.5150,,,,,,3.8
47,50441,1.5276,,,,,,3.8
48,51478,1.5214,,,,,,3.0
49,52424,1.5153,,,,,,2.7
50,53436,1.5204,,,,,,2.8
51,54487,1.5234,,,,,,2.9
52,55468,1.5177,,,,,,3.2
53,56529,1.5124,,,,,,3.0
54,57605,1.5080,,,,,,3.2
55,58631,1.5117,,,,,,3.0
56,59708,1.5107,,,,,,3.2
57,60000,1.5057,,,,,,2.8
58,60000,1.4994,,,,,,3.0
59,60000,1.4978,,,,,,3.2
60,60000,1.4999,1.000,1.000,40,0,1,38.5
61,60000,1.4860,,,,,,3.1
62,60000,1.4942,,,,,,3.1
63,60000,1.4832,,,,,,3.2
64,60000,1.4870,,,,,,3.0
65,60000,1.4849,,,,,,3.0
66,60000,1.4797,,,,,,3.1
67,60000,1.4733,,,,,,3.1
68,60000,1.4722,,,,,,3.3
69,60000,1.4672,,,,,,3.1
70,60000,1.4668,,,,,,3.2
71,60000,1.4725,,,,,,2.9
72,60000,1.4633,,,,,,3.1
73,60000,1.4721,,,,,,2.8
74,60000,1.4677,,,,,,3.7
75,60000,1.4663,,,,,,3.2
76,60000,1.4570,,,,,,3.3
77,60000,1.4546,,,,,,3.5
78,60000,1.4481,,,,,,3.3
79,60000,1.4435,,,,,,3.7
80,60000,1.4402,1.000,0.967,40,0,0,45.1
81,60000,1.4407,,,,,,3.1
82,60000,1.4332,,,,,,2.9
83,60000,1.4347,,,,,,2.7
84,60000,1.4421,,,,,,3.0
85,60000,1.4347,,,,,,3.3
86,60000,1.4340,,,,,,3.4
87,60000,1.4304,,,,,,3.6
88,60000,1.4286,,,,,,3.1
89,60000,1.4249,,,,,,3.2
90,60000,1.4245,,,,,,3.6
91,60000,1.4154,,,,,,2.7
92,60000,1.4145,,,,,,3.2
93,60000,1.4155,,,,,,3.0
94,60000,1.4136,,,,,,3.0
95,60000,1.4156,,,,,,2.9
96,60000,1.4078,,,,,,3.0
97,60000,1.4008,,,,,,3.0
98,60000,1.3940,,,,,,3.2
99,60000,1.3941,,,,,,3.3
100,60000,1.3915,1.000,1.000,40,0,0,42.9
101,60000,1.3924,,,,,,3.5
102,60000,1.3901,,,,,,3.7
103,60000,1.3752,,,,,,3.7
104,60000,1.3825,,,,,,3.6
105,60000,1.3763,,,,,,3.2
106,60000,1.3738,,,,,,3.0
107,60000,1.3721,,,,,,3.1
108,60000,1.3701,,,,,,3.9
109,60000,1.3695,,,,,,3.7
110,60000,1.3756,,,,,,3.6
111,60000,1.3754,,,,,,3.4
112,60000,1.3742,,,,,,3.8
113,60000,1.3605,,,,,,4.6
114,60000,1.3654,,,,,,3.7
115,60000,1.3600,,,,,,3.9
116,60000,1.3574,,,,,,3.3
117,60000,1.3570,,,,,,4.1
118,60000,1.3577,,,,,,3.5
119,60000,1.3514,,,,,,3.7
