iteration,buffer,loss,vs_random,vs_greedy,solver_first,solver_second,best,seconds
1,1125,1.9341,,,,,,4.5
2,2197,1.8245,,,,,,2.1
3,3254,1.7991,,,,,,2.0
4,4400,1.7496,,,,,,2.3
5,5443,1.7464,,,,,,2.1
6,6595,1.7347,,,,,,2.5
7,7573,1.7556,,,,,,1.9
8,8694,1.7391,,,,,,2.9
9,9732,1.7329,,,,,,2.2
10,10805,1.7265,,,,,,2.3
11,11845,1.7380,,,,,,2.5
12,12933,1.7261,,,,,,2.6
13,14064,1.7292,,,,,,2.8
14,15095,1.7453,,,,,,2.5
15,16306,1.7400,,,,,,2.8
16,17375,1.7321,,,,,,2.8
17,18418,1.7342,,,,,,2.5
18,19557,1.7251,,,,,,2.7
19,20651,1.7257,,,,,,2.6
20,21778,1.7193,1.000,0.950,14,17,1,27.2
21,22893,1.7129,,,,,,2.1
22,24034,1.7197,,,,,,2.2
23,25015,1.7160,,,,,,2.0
24,26119,1.7196,,,,,,2.3
25,27325,1.7084,,,,,,2.5
26,28486,1.7060,,,,,,2.4
27,29612,1.6999,,,,,,2.2
28,30652,1.6927,,,,,,2.3
29,31730,1.6896,,,,,,2.1
30,32907,1.6906,,,,,,3.0
31,34022,1.6924,,,,,,2.9
32,35163,1.6808,,,,,,2.8
33,36192,1.6720,,,,,,2.8
34,37247,1.6813,,,,,,2.4
35,38299,1.6805,,,,,,2.5
36,39358,1.6737,,,,,,2.7
37,40481,1.6765,,,,,,3.2
38,41547,1.6643,,,,,,2.6
39,42572,1.6655,,,,,,2.9
40,43616,1.6579,1.000,0.917,18,20,1,27.7
41,44627,1.6595,,,,,,2.3
42,45606,1.6633,,,,,,2.3
43,46627,1.6635,,,,,,2.5
44,47652,1.6615,,,,,,2.7
45,48802,1.6552,,,,,,2.6
46,49910,1.6592,,,,,,2.5
47,51010,1.6557,,,,,,2.5
48,52042,1.6526,,,,,,3.0
49,53131,1.6528,,,,,,2.7
50,54240,1.6532,,,,,,2.5
51,55381,1.6571,,,,,,2.9
52,56508,1.6457,,,,,,2.9
53,57552,1.6548,,,,,,2.7
54,58700,1.6487,,,,,,2.7
55,59768,1.6475,,,,,,2.4
56,60000,1.6425,,,,,,3.2
57,60000,1.6414,,,,,,2.7
58,60000,1.6406,,,,,,2.8
59,60000,1.6305,,,,,,2.8
60,60000,1.6302,1.000,1.000,14,12,0,29.6
61,60000,1.6262,,,,,,2.8
62,60000,1.6191,,,,,,2.6
63,60000,1.6132,,,,,,2.6
64,60000,1.6221,,,,,,2.8
65,60000,1.6198,,,,,,2.6
66,60000,1.6103,,,,,,2.7
67,60000,1.6103,,,,,,2.7
68,60000,1.6110,,,,,,3.2
69,60000,1.6062,,,,,,2.8
70,60000,1.6105,,,,,,2.6
71,60000,1.6046,,,,,,2.5
72,60000,1.6066,,,,,,2.8
73,60000,1.5983,,,,,,2.7
74,60000,1.5968,,,,,,2.6
75,60000,1.5964,,,,,,2.9
76,60000,1.5936,,,,,,2.6
77,60000,1.5983,,,,,,3.1
78,60000,1.5863,,,,,,3.0
79,60000,1.5865,,,,,,3.0
80,60000,1.5829,1.000,1.000,23,13,0,28.4
81,60000,1.5908,,,,,,2.8
82,60000,1.5888,,,,,,2.7
83,60000,1.5821,,,,,,2.7
84,60000,1.5806,,,,,,2.7
85,60000,1.5866,,,,,,2.9
86,60000,1.5787,,,,,,2.5
87,60000,1.5731,,,,,,3.0
88,60000,1.5783,,,,,,2.5
89,60000,1.5857,,,,,,2.7
90,60000,1.5710,,,,,,2.5
91,60000,1.5741,,,,,,2.9
92,60000,1.5790,,,,,,3.1
93,60000,1.5695,,,,,,2.6
94,60000,1.5661,,,,,,2.5
95,60000,1.5747,,,,,,2.6
96,60000,1.5631,,,,,,2.7
97,60000,1.5627,,,,,,2.7
98,60000,1.5667,,,,,,2.8
99,60000,1.5634,,,,,,2.7
100,60000,1.5694,1.000,1.000,14,20,0,30.4
101,60000,1.5637,,,,,,2.6
102,60000,1.5617,,,,,,2.7
103,60000,1.5646,,,,,,2.7
104,60000,1.5580,,,,,,2.7
105,60000,1.5499,,,,,,2.3
106,60000,1.5537,,,,,,2.3
107,60000,1.5495,,,,,,2.2
108,60000,1.5534,,,,,,2.6
109,60000,1.5499,,,,,,2.1
110,60000,1.5356,,,,,,2.5
111,60000,1.5373,,,,,,2.6
112,60000,1.5442,,,,,,2.2
113,60000,1.5378,,,,,,2.4
114,60000,1.5412,,,,,,2.5
115,60000,1.5429,,,,,,2.1
116,60000,1.5393,,,,,,2.1
117,60000,1.5400,,,,,,2.4
118,60000,1.5410,,,,,,2.2
119,60000,1.5337,,,,,,2.1
120,60000,1.5377,1.000,0.983,18,13,0,27.9
121,60000,1.5371,,,,,,1.9
122,60000,1.5400,,,,,,2.4
123,60000,1.5310,,,,,,2.4
124,60000,1.5260,,,,,,2.2
125,60000,1.5312,,,,,,2.3
126,60000,1.5342,,,,,,2.4
127,60000,1.5306,,,,,,2.2
128,60000,1.5309,,,,,,2.6
129,60000,1.5215,,,,,,2.2
130,60000,1.5386,,,,,,2.2
131,60000,1.5344,,,,,,2.4
132,60000,1.5296,,,,,,2.5
133,60000,1.5202,,,,,,2.0
134,60000,1.5194,,,,,,2.3
135,60000,1.5175,,,,,,2.2
136,60000,1.5118,,,,,,2.5
137,60000,1.5207,,,,,,2.4
138,60000,1.5152,,,,,,2.1
139,60000,1.5188,,,,,,2.4
140,60000,1.5176,1.000,1.000,16,13,0,31.8
141,60000,1.5159,,,,,,2.5
142,60000,1.5147,,,,,,2.3
143,60000,1.5201,,,,,,2.2
144,60000,1.5097,,,,,,2.1
145,60000,1.5081,,,,,,2.4
146,60000,1.5180,,,,,,2.1
147,60000,1.5123,,,,,,2.4
148,60000,1.5071,,,,,,2.1
149,60000,1.5065,,,,,,2.2
150,60000,1.5096,,,,,,2.5
151,60000,1.5024,,,,,,2.3
152,60000,1.5037,,,,,,2.5
153,60000,1.5107,,,,,,2.4
154,60000,1.5135,,,,,,2.5
155,60000,1.5102,,,,,,2.2
156,60000,1.5054,,,,,,2.6
157,60000,1.5069,,,,,,2.3
158,60000,1.5013,,,,,,2.2
159,60000,1.5030,,,,,,2.5
160,60000,1.4996,1.000,1.000,24,15,1,29.3
161,60000,1.5066,,,,,,2.6
162,60000,1.5021,,,,,,2.3
163,60000,1.5018,,,,,,2.0
164,60000,1.5098,,,,,,2.3
165,60000,1.5008,,,,,,2.1
166,60000,1.5027,,,,,,2.5
167,60000,1.5036,,,,,,2.2
168,60000,1.4991,,,,,,2.2
169,60000,1.4985,,,,,,2.3
170,60000,1.4937,,,,,,2.3
171,60000,1.4952,,,,,,2.3
